,Unnamed: 0,Keyword,Count_news,Count_blog,Count_kin,Count_total
0,0,조폐,311.0,394.0,318.0,1023.0
1,1,공사,311.0,388.0,322.0,1021.0
2,2,작년,13.0,1.0,0.0,14.0
3,3,보안,46.0,14.0,0.0,60.0
4,4,보안기능,29.0,0.0,0.0,29.0
5,5,기능,33.0,0.0,0.0,33.0
6,6,강화,45.0,0.0,0.0,45.0
7,7,새,45.0,0.0,0.0,45.0
8,8,주민증,32.0,0.0,0.0,32.0
9,9,서비스,20.0,0.0,0.0,20.0
10,10,주민,18.0,0.0,5.0,23.0
11,11,주민등록증,25.0,0.0,5.0,30.0
12,12,등록증,18.0,0.0,0.0,18.0
13,13,강화범죄,3.0,0.0,0.0,3.0
14,14,범죄,4.0,0.0,0.0,4.0
15,15,악용,4.0,0.0,0.0,4.0
16,16,원천,4.0,0.0,0.0,4.0
17,17,차단,4.0,0.0,0.0,4.0
18,18,중,9.0,6.0,5.0,20.0
19,19,시행,4.0,0.0,0.0,4.0
20,20,발급,25.0,1.0,21.0,47.0
21,21,시작,3.0,4.0,0.0,7.0
22,22,위,17.0,19.0,1.0,37.0
23,23,위변조,14.0,2.0,0.0,16.0
24,24,변조,14.0,10.0,0.0,24.0
25,25,피해,3.0,0.0,0.0,3.0
26,26,방지,4.0,14.0,0.0,18.0
27,27,교환,3.0,0.0,1.0,4.0
28,28,교체,10.0,0.0,0.0,10.0
29,29,한국,125.0,395.0,316.0,836.0
30,30,권장,3.0,0.0,0.0,3.0
31,31,권고,4.0,0.0,0.0,4.0
32,32,나,3.0,7.0,3.0,13.0
33,33,화폐,26.0,44.0,24.0,94.0
34,34,화폐박물관,19.0,20.0,4.0,43.0
35,35,박물관,25.0,21.0,4.0,50.0
36,36,천사,28.0,0.0,0.0,28.0
37,37,재능,28.0,0.0,0.0,28.0
38,38,메달,34.0,14.0,9.0,57.0
39,39,디자인,29.0,3.0,0.0,32.0
40,40,디자인전,25.0,0.0,0.0,25.0
41,41,전,28.0,2.0,9.0,39.0
42,42,개최,16.0,14.0,0.0,30.0
43,43,화폐박물관천사,3.0,0.0,0.0,3.0
44,44,재능메달,3.0,0.0,0.0,3.0
45,45,비상,118.0,0.0,0.0,118.0
46,46,비상경영체제,41.0,0.0,0.0,41.0
47,47,경영,120.0,1.0,4.0,125.0
48,48,체제,90.0,0.0,0.0,90.0
49,49,선언,53.0,0.0,0.0,53.0
50,50,지난해,37.0,2.0,0.0,39.0
51,51,142,34.0,1.0,0.0,35.0
52,52,142억원,12.0,1.0,0.0,13.0
53,53,억,39.0,1.0,5.0,45.0
54,54,원,29.0,4.0,10.0,43.0
55,55,적자,60.0,4.0,0.0,64.0
56,56,적자비상경영,3.0,0.0,0.0,3.0
57,57,돈,5.0,9.0,26.0,40.0
58,58,공장,4.0,0.0,0.0,4.0
59,59,돌입,53.0,0.0,0.0,53.0
60,60,영업,40.0,4.0,6.0,50.0
61,61,영업적자,21.0,0.0,0.0,21.0
62,62,비상경영,58.0,0.0,0.0,58.0
63,63,142억,16.0,0.0,0.0,16.0
64,64,영업적자비상경영,6.0,0.0,0.0,6.0
65,65,선언매출,3.0,0.0,0.0,3.0
66,66,매출,9.0,0.0,0.0,9.0
67,67,증가,7.0,1.0,0.0,8.0
68,68,불구,7.0,0.0,0.0,7.0
69,69,영업손익,10.0,0.0,0.0,10.0
70,70,손익,13.0,0.0,0.0,13.0
71,71,미래,16.0,0.0,0.0,16.0
72,72,미래성장사업고도화,3.0,0.0,0.0,3.0
73,73,성장,19.0,0.0,0.0,19.0
74,74,사업,25.0,6.0,1.0,32.0
75,75,고도화,6.0,0.0,0.0,6.0
76,76,선언지난해,6.0,0.0,0.0,6.0
77,77,혁신,66.0,1.0,0.0,67.0
78,78,협업,46.0,0.0,0.0,46.0
79,79,협업시민,3.0,0.0,0.0,3.0
80,80,시민,46.0,0.0,0.0,46.0
81,81,참여,46.0,2.0,0.0,48.0
82,82,참여평가서,3.0,0.0,0.0,3.0
83,83,평가서,34.0,0.0,0.0,34.0
84,84,우수,61.0,2.0,0.0,63.0
85,85,선언작년,3.0,0.0,0.0,3.0
86,86,정부,44.0,8.0,9.0,61.0
87,87,우수과제,47.0,0.0,0.0,47.0
88,88,과제,54.0,0.0,0.0,54.0
89,89,혁신부문,30.0,0.0,0.0,30.0
90,90,부문,45.0,0.0,1.0,46.0
91,91,획득,18.0,0.0,0.0,18.0
92,92,반장,32.0,0.0,0.0,32.0
93,93,사장,44.0,5.0,1.0,50.0
94,94,선언여권발급,3.0,0.0,0.0,3.0
95,95,여권,24.0,1.0,0.0,25.0
96,96,급감,14.0,0.0,0.0,14.0
97,97,142억비상경영,3.0,0.0,0.0,3.0
98,98,공공,25.0,19.0,0.0,44.0
99,99,공공기관,25.0,15.0,0.0,40.0
100,100,기관,25.0,19.0,1.0,45.0
101,101,선정,20.0,0.0,0.0,20.0
102,102,선언6개,6.0,0.0,0.0,6.0
103,103,6,10.0,11.0,0.0,21.0
104,104,개,10.0,3.0,5.0,18.0
105,105,가동,10.0,0.0,0.0,10.0
106,106,영,4.0,0.0,1.0,5.0
107,107,영업익,3.0,0.0,0.0,3.0
108,108,업익,3.0,0.0,0.0,3.0
109,109,충격,5.0,4.0,0.0,9.0
110,110,조폐공사반장식,3.0,0.0,0.0,3.0
111,111,반,20.0,0.0,0.0,20.0
112,112,장식,20.0,0.0,0.0,20.0
113,113,선포,3.0,0.0,0.0,3.0
114,114,기재,3.0,0.0,1.0,4.0
115,115,기재부,3.0,0.0,0.0,3.0
116,116,부,4.0,4.0,0.0,8.0
117,117,주관,22.0,0.0,0.0,22.0
118,118,2020,26.0,61.0,5.0,92.0
119,119,적자비상경영체제,6.0,0.0,0.0,6.0
120,120,스위스,4.0,0.0,0.0,4.0
121,121,펄프,4.0,1.0,0.0,5.0
122,122,공급,3.0,3.0,0.0,6.0
123,123,수주,4.0,0.0,0.0,4.0
124,124,쾌거,4.0,1.0,0.0,5.0
125,125,적자전환,3.0,0.0,0.0,3.0
126,126,전환,8.0,2.0,0.0,10.0
127,127,코로나,34.0,2.0,0.0,36.0
128,128,코로나19,23.0,1.0,0.0,24.0
129,129,19,28.0,2.0,0.0,30.0
130,130,장기화,16.0,0.0,0.0,16.0
131,131,디자인전개최,3.0,0.0,0.0,3.0
132,132,경영악화,3.0,0.0,0.0,3.0
133,133,악화,14.0,1.0,0.0,15.0
134,134,극복,14.0,0.0,1.0,15.0
135,135,혁신협업시민참여,34.0,0.0,0.0,34.0
136,136,평가서우수,3.0,0.0,0.0,3.0
137,137,반장식,20.0,0.0,0.0,20.0
138,138,경영혁신,3.0,0.0,0.0,3.0
139,139,위기,16.0,0.0,0.0,16.0
140,140,정부혁신협업시민,9.0,0.0,0.0,9.0
141,141,혁신부문우수획득,3.0,0.0,0.0,3.0
142,142,우,3.0,2.0,0.0,5.0
143,143,획,3.0,0.0,0.0,3.0
144,144,신사업,3.0,0.0,0.0,3.0
145,145,한계,3.0,0.0,0.0,3.0
146,146,보여,3.0,0.0,0.0,3.0
147,147,성장동력,9.0,0.0,0.0,9.0
148,148,동력,10.0,0.0,0.0,10.0
149,149,마련,3.0,0.0,0.0,3.0
150,150,발등,3.0,0.0,0.0,3.0
151,151,불,3.0,0.0,0.0,3.0
152,152,대책,7.0,0.0,0.0,7.0
153,153,회의,22.0,6.0,0.0,28.0
154,154,주재,5.0,0.0,0.0,5.0
155,155,우수과제평가,3.0,0.0,0.0,3.0
156,156,평가,21.0,2.0,1.0,24.0
157,157,직격,3.0,0.0,0.0,3.0
158,158,선언142억원,3.0,0.0,0.0,3.0
159,159,한국조폐공사비상,3.0,0.0,0.0,3.0
160,160,경영체제,3.0,0.0,0.0,3.0
161,161,조폐공사한국,6.0,0.0,1.0,7.0
162,162,국립공원,24.0,1.0,0.0,25.0
163,163,기념,24.0,34.0,13.0,71.0
164,164,기념주화,21.0,12.0,2.0,35.0
