,title,originallink,link,description,pubDate,bloggername,bloggerlink,postdate
0,<b>조폐공사</b> &quot;작년부터 보안기능 강화된 새 주민증 서비스&quot;,https://www.news1.kr/articles/?4241099,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=421&aid=0005222259,<b>한국조폐공사</b>는 지난 2020년 1월부터 육안으로도 위·변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민증을 국민들에게 서비스 중이라고 15일 밝혔다. 새 주민증은 열과 충격에 강해 쉽게 훼손되지... ,"Mon, 15 Mar 2021 11:42:00 +0900",,,
1,"<b>조폐공사</b>, 주민등록증 보안기능 강화...범죄 악용 원천 차단",http://www.etnews.com/20210315000139,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=030&aid=0002933275,<b>한국조폐공사</b>는 국가 신분증인 주민등록증(주민증) 보안기능을 강화해 범죄 악용을 원천 차단했다고 15일 밝혔다. <b>조폐공사</b>에 따르면 최근 5년(2015~2019년)간 분실로 인한 주민증 재발급 건수는 무려 790만건에 달한다.... ,"Mon, 15 Mar 2021 13:27:00 +0900",,,
2,"<b>조폐공사</b>, 보안기능 대폭 강화된 새 주민등록증 서비스 중",http://www.kukinews.com/newsView/kuk202103150443,http://www.kukinews.com/newsView/kuk202103150443,"<b>한국조폐공사</b>(사장 반장식, www.komsco.com)는 1999년 일제 갱신 이래 20년만인 지난해 1월부터 육안으로도 위·변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민등록증을 국민들에게 서비스중이라고... ","Mon, 15 Mar 2021 23:49:00 +0900",,,
3,"<b>조폐공사</b>, 보안 기능 대폭 강화된 주민등록증 서비스 시행",http://www.cctoday.co.kr/news/articleView.html?idxno=2130648,http://www.cctoday.co.kr/news/articleView.html?idxno=2130648,<b>한국조폐공사</b>는 보안기능이 강화된 새 주민등록증 서비스를 시행 중이라고 15일 밝혔다.이번 주민증은 육안으로도 위·변조 여부를 쉽게 확인할 수 있고 열과 충격에 강해 쉽게 훼손되지 않는 플라스틱 재질로... ,"Mon, 15 Mar 2021 20:44:00 +0900",,,
4,"<b>조폐공사</b>, 보안 강화된 새 주민등록증 발급 시작",http://www.lawissue.co.kr/view.php?ud=202103152227433777f4ab64559d_12,http://www.lawissue.co.kr/view.php?ud=202103152227433777f4ab64559d_12,"주민증, 여권 등 국가 신분증을 제조하고 있는 <b>한국조폐공사</b>는 1999년 일제 갱신 이래 20년만인 지난 2020년 1월부터 육안으로도 위·변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민증을 국민들에게... ","Mon, 15 Mar 2021 22:33:00 +0900",,,
5,<b>조폐공사</b> &quot;위변조 피해 방지하는 새 주민증으로 교환하세요&quot;,http://www.cctvnews.co.kr/news/articleView.html?idxno=222377,http://www.cctvnews.co.kr/news/articleView.html?idxno=222377,"주민증, 여권 등 국가 신분증을 제조하고 있는 <b>한국조폐공사</b>는 작년 1월부터 육안으로도 위·변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민증을 국민들에게 서비스중이라고 강조했다. 강화된... ","Tue, 16 Mar 2021 13:34:00 +0900",,,
6,"<b>조폐공사</b>, 보안기능 대폭 강화 새 주민증 서비스",http://www.viva100.com/main/view.php?key=20210315010004035,http://www.viva100.com/main/view.php?key=20210315010004035,"<b>조폐공사</b>, 보안기능 대폭 강화 새 주민증 서비스 <b>한국조폐공사</b>는 지난 1999년 일제 갱신 이래 20년만인 올해 1월부터 육안으로도 위·변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민증을 국민들에게... ","Mon, 15 Mar 2021 14:52:00 +0900",,,
7,"<b>조폐공사</b>, 보안 강화된 새 주민증으로 바꿔볼까?",http://www.ccnnews.co.kr/news/articleView.html?idxno=211957,http://www.ccnnews.co.kr/news/articleView.html?idxno=211957,"주민증, 여권 등 국가 신분증을 제조하고 있는 <b>한국조폐공사</b>(사장 반장식, www.komsco.com)는 1999년 일제 갱신 이래 20년만인 지난 2020년 1월부터 육안으로도 위·변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭... ","Mon, 15 Mar 2021 11:36:00 +0900",,,
8,<b>조폐공사</b> &quot;보안기능 강화된 새 주민증 교체하세요&quot;,http://www.g-enews.com/ko-kr/news/article/news_all/202103151108506570620e02e8e3_1/article.html,http://www.g-enews.com/ko-kr/news/article/news_all/202103151108506570620e02e8e3_1/article.html,"레이저 보안인쇄기술·색변환 특수잉크·돋움문자 적용 등 보안 강화 주민등록증 분실로 인한 재발급 건수가 최근 5년간 790만 건에 이르는 가운데, <b>한국조폐공사</b>가 보안이 강화된 새 주민증으로 교체할 것을 권고했다.... ","Mon, 15 Mar 2021 11:15:00 +0900",,,
9,"<b>조폐공사</b>, 보안 강화된 새 주민증 발급",https://www.asiatoday.co.kr/view.php?key=20210315010009118,https://www.asiatoday.co.kr/view.php?key=20210315010009118,레이저 보안인쇄기술·색변환 특수잉크·돋움문자 적용 <b>한국조폐공사</b>는 육안으로도 위·변조 여부를 쉽게 확인할 수 있도록 보안기능이 대폭 강화된 새 주민등록증을 국민들에게 발급하고 있다고 15일 밝혔다. 새... ,"Mon, 15 Mar 2021 15:48:00 +0900",,,
