,id,query,title,lang,pub_date,text,url
0,0,조폐공사,"조폐공사, ‘황금 돼지의 해 골드바’ 소문내기 이벤트 실시",ko,2018-11-01 00:02:00+00:00,"SNS에 ‘황금 돼지의 해 골드바’ 소문내면 총 101명에 ‘돼지해 실버바’ 증정 이벤트 이미지. (사진=조폐공사) 한국조폐공사(사장 조용만, www.komsco.com)는 11월 한달간 SNS에 ‘2019 황금 돼지의 해 골드바’를 소개하면 돼지의 해 실버바를 증정하는 이벤트를 실시한다. 자신의 SNS에 ‘2019 황금 돼지의 해 골드바’소개 글과 제품 이미지, 해시태그(#황금돼지, #골드바, #조폐공사)를 올리고 조폐공사 온라인 쇼핑몰(www.koreamint.com) 자유게시판에 본인이 올린 글의 캡쳐 화면과 URL 주소를 남기면 총 101명에게 ‘2019 황금 돼지해 실버바(5g)’를 증정한다. ‘황금 돼지의 해 골드바’는 조폐공사 쇼핑몰 및 전화(02-710-5228)를 통해 구매할 수 있다. 저작권자 © 철강금속신문 무단전재 및 재배포 금지",https://www.snmnews.com/news/articleView.html?idxno=434493
1,1,조폐공사,"한국조폐공사, 조용필 50주념 기념메달 공개",,,,https://www.nocutnews.co.kr/news/5049942
2,2,조폐공사,가왕(歌王) 조용필 ‘데뷔 50주년 기념메달’ 출시,ko,2018-10-23 09:41:00+00:00,"한국조폐공사, 공연장면 엠블럼 담아 제조•판매 조용필 ""너무 큰 영광이다"" 인사 23일 오전 서울 중구 롯데호텔에서 열린 ‘조용필 50주년 기념메달 출시’ 행사에서 가수 조용필이 포즈를 취하고 있다. [중소기업투데이 이화순 기자] 가왕(歌王) 조용필 데뷔 50주년을 기념하는 메달이 한정판으로 출시됐다. 한국조폐공사는 23일 '가왕 조용필 데뷔 50주년 기념 메달'을 공개했다. 현장에는 조용필, 조용만 조폐공사 사장, 조용필 50주년 추진위원회 안호상 위원장 등이 참석했다. 조용만 사장은 ""조용필 메달을 통해 가왕의 50주년을 기념하며, 한류문화 확산에 기여하기를 바라는 마음이다""라며 ""조폐공사는 세계적인 주화제조 기술을 바탕으로 고품격 주화와 메달을 제작, 판매할 계획""이라고 밝혔다. 조용필은 기념 메달이 출시된 것에 대해 “제일 처음에 연락이 왔을 때 너무 놀랐고, 의아했던 것 같다. 주화라는 것은 역사에서 정말 특별한 사람들, 세종대왕이나 이런 분들을 기념하기 위한 것으로 알고 있어 걱정이 앞섰다""라며 ""50년이 정말 빨리 흘러갔다. 앞으로 더 열심히 하겠다""고 밝혔다. 국내 최고의 화폐 디자이너가 작업한 기념 메달에는 앞면에 조용필의 공연 장면을, 뒷면엔 변조 방지 특허기술이 적용된 데뷔 50주년 기념 엠블럼이 표현됐다. 메달의 가치와 신뢰를 높이기 위해 함께 제공되는 보증서에는 제품 일련번호가 부여됐다. 조용필은 말이 필요없는 가왕(歌王) 으로 통한다. 1968년 그룹 애트킨즈 멤버로 데뷔해 ‘촛불’, ‘고추잠자리’, ‘모나리자’, ‘킬리만자로의 표범’, ‘여행을 떠나요’, ‘돌아와요 부산항에’, ‘바운스’(Bounce) 등 수많은 히트곡으로 남녀노소를 막론하고 많은 대중들의 사랑을 독차지해왔다. 총 19개의 정규앨범을 발표하는 등 끊임없는 음악활동으로 대중음악계에서 존경받고 있다. 그의 음악은 국내 대중가수 최초로 교과서에 수록됐으며 국내 최초 총 음반판매량 1000만장 돌파, 국내 가수 최초 미국 카네기홀 공연 등 ‘최초’라는 수식어를 가장 많이 남긴 가수이기도 하다. 또 일본에서는 30명의 가수가 ‘돌아와요 부산항에’를 리메이크했다. 조용필은 데뷔 50주년을 맞아 팬들에게 음악으로 보답하기 위해 국내 최장수 록밴드 ‘조용필과 위대한 탄생’과 함께 50년 전국 투어 콘서트도 진행중이다. 한편 1999년 조용필의 예술의전당 콘서트홀 공연을 추진해 클래식과 대중음악의 경계를 허물었던 안호상 홍익대학교 공연예술대학원장은 이번에 조용필 50주년 추진위원회 위원장을 맡아 메달 출시 외에 ‘조용필과 위대한 탄생’과 함께 50주년 전국 투어 콘서트 진행에 힘을 싣고 있다. 조용필의 공연 모습을 표현한 이번 기념 메달은 금으로 만든 고급형Ⅰ(275만원)과 고급형Ⅱ(143만원), 은 재질의 콜렉션형(16만 5000원) 3종으로 디자인은 모두 동일하다. 판매 기간은 11월 4일까지 2주간이며 판매 수량은 총 5,050개다. 저작권자 © 중소기업투데이 무단전재 및 재배포 금지",http://www.sbiztoday.kr/news/articleView.html?idxno=3477
3,3,조폐공사,조폐공사 위변조방지 기술로  ‘가짜’ 성주 참외 잡아낸다,ko,2018-02-13 00:43:28+00:00,"성주참외 포장박스 조폐공사 위변조방지 보안라벨 이미지 한국조폐공사가 화폐 제조과정에서 축적된 첨단 위조방지 기술을 활용, 가짜 지역특산물을 잡아낼 수 있는 사업에 나선다. 조폐공사는 13일 경북 성주군청과 성주 지역 특산물인 성주 참외 위조방지 라벨 제조‧공급 계약을 체결했다고 밝혔다. 이번 계약은 지역특산물에 조폐공사 위조방지 보안기술이 적용된 첫 사례다. 이에 따라 성주군에서 생산되는 참외의 포장박스에는 조폐공사가 만든 보안라벨이 부착돼 성주산임을 증명하게 된다. 라벨은 조폐공사의 특허기술인 복사방해패턴을 적용해 복사나 스캔해 사용할 경우 ‘COPY’ 문구가 나타나 위조를 방지할 수 있다. 또 스마트폰 QR코드에 라벨을 입력하면 성주 참외 정품 여부도 확인할 수 있다. 보안라벨은 포장박스를 개봉하는 위치에 부착돼 박스를 열면 파손돼 재사용할 수 없다. 조폐공사의 복사방해패턴 기술은 그동안 짝퉁 원자력발전 부품 방지를 위한 시험성적서, 중국 등 해외 수출 화장품, 제약회사 위조방지용 라벨 등에 적용돼 유사 제품으로 인한 피해를 예방해왔다. 성주군청은 이번 계약으로 원산지 도용 농산물을 근절해 군내 농민들의 수익을 보호하고, 성주 참외에 대한 소비자의 신뢰도를 높일 수 있을 것으로 기대하고 있다. 조폐공사 위변조방지 보안라벨 성주참외 포장박스에 적용된 모습 성주군은 우리나라 최대 참외 산지로 참외 재배의 70% 가량을 차지하고 있으나, 타 지역에서 생산된 일부 참외가 종종 성주 참외로 둔갑해 유통되는 바람에 참외 재배 농민들이 피해를 입어왔다. 가짜 지역특산물을 가려낼 수 있는 보안라벨은 우리나라 지역특산물인 포도, 사과, 배, 인삼, 고구마 등 농산물은 물론 굴비, 젓갈류, 한우를 비롯한 수산물과 축산물에도 적용 가능하다.",https://www.dtnews24.com/news/articleView.html?idxno=505097
4,4,조폐공사,"조폐공사, 가왕(歌王) ‘조용필 데뷔 50주년 기념메달’ 선보여",ko,2018-10-23 10:32:35+00:00,"금·은 메달 등 3종, 5,050개 한정수량 제작 23일부터 예약 주문, 한류 확산에 기여 기대 한국조폐공사는 10월 23일 롯데호텔 서울에서 ‘조용필 50주년 기념메달’을 공개했다. 사진 왼쪽부터 가왕 조용필, 안호상 조용필 50주년 추진위원회 위원장, 조폐공사 서태원 사업이사, 서정희 솔잎엔터테인먼트 대표, 조폐공사 조용만 사장. (사진= 한국조폐공사) 한국조폐공사(사장 조용만, www.komsco.com)는 23일 서울 을지로 롯데호텔 서울에서 대한민국 대중음악의 살아있는 전설 ‘가왕(歌王) 조용필 50주년 기념메달’을 공개했다. 조용필 기념메달은 이날 오전 10시부터 조폐공사 쇼핑몰 등을 통해 예약 판매된다. 세계적인 주화제조 기술력을 바탕으로 다양한 고품격 기념주화 및 메달을 제작하고 있는 조폐공사는 한류라는 국가브랜드 확산에 기여하기 위해 우리나라 대중음악의 기념비적인 역할을 한 ‘조용필’을 주인공으로 한 기념메달을 만들었다. ‘조용필 50주년 기념메달’의 앞면에는 조용필이 공연하는 모습을 시그니처인 기타·마이크·선글라스와 함께 담았고, 뒷면에는 위조방지를 위한 잠상과 50주년 기념 엠블렘을 새겼다. 전시용 케이스도 무대를 연상할 수 있도록 제작, 메달과 케이스의 조합으로 ‘무대위의 가수 조용필’을 표현했다. ‘조용필 50주년 기념메달’은 ▲고급형I(금, 중량 31.1g, 순도 99.9%, 직경 40mm) ▲고급형II(금, 중량 15.55g, 순도 99.9%, 직경 28mm) ▲콜렉션형(은, 중량 31.1g, 순도 99.9%, 직경 40mm) 등 3종으로, 디자인은 동일하되 사이즈와 패키지가 다르다. 판매가격(부가세 포함)은 개당 ▲고급형I 275만원 ▲고급형II 143만원 ▲콜렉션형 16만5,000원이다. 한국조폐공사는 10월 23일 롯데호텔 서울에서 ‘조용필 50주년 기념메달’을 공개했다. 가왕 조용필(왼쪽)과 조폐공사 조용만 사장이 기념메달 석고판을 들고 기념촬영하고 있다. (사진= 한국조폐공사) 총 5,050개 한정 수량으로 제작되는 ‘조용필 50주년 기념메달’은 23일 오전 10시부터 11월 4일까지 2주간 조폐공사 온라인 쇼핑몰(www.koreamint.com), 풍산화동양행, 기업은행과 농협은행 전국 지점, 골든듀 롯데백화점 전국 매장에서 예약 접수한다. 기념메달 판매수익금 중 일부는 문화 진흥 및 발전에 쓰일 예정이다. 조용필은 1968년 그룹 ‘애트킨즈’ 멤버로 데뷔해 수많은 히트곡으로 전 세대에 즐거움을 선사해 왔다. 19개의 정규앨범을 발표하는 등 끊임없는 음악활동으로 대중음악계에서 존경받고 있으며, 50주년을 기념해 전국 투어 콘서트를 진행 중이다. 조폐공사 조용만 사장은 “이번 기념메달이 ‘한류문화’확산에 기여하기를 희망한다”며 “앞으로도 대한민국의 멋과 문화를 담은 고품격 메달 제품을 선보여 국가 브랜드를 높이는 데 힘쓰겠다”고 말했다. 저작권자 © 철강금속신문 무단전재 및 재배포 금지",https://www.snmnews.com/news/articleView.html?idxno=433914
5,5,조폐공사,"조폐공사, 고품위 아트 메달 ‘장수하늘소 메달’ 출시",ko,2018-06-26 23:21:36+00:00,"고심도 기술 적용, 예술성과 입체감 높여 수집가치 극대화 일련번호 적용 은메달 30개, 동메달 150개 한정 판매 고품위 아트메달 천연기념물 시리즈 ‘장수하늘소 메달’ 이미지. (사진=조폐공사) 한국조폐공사(사장 조용만, www.komsco.com)가 26일 프리미엄급 고품위 아트 메달인 ‘장수하늘소 메달’을 선보였다. 천연기념물 시리즈 세번째 작품인 ‘장수하늘소 아트 메달’은 우리나라 천연기념물인 장수하늘소의 다양한 모습이 고심도(高深度)의 기술로 재현됐다. 은메달(중량 500g, 순도 99.9%, 직경 80mm)과 동메달(390g, 80mm) 두 종류로 은메달은 30개, 동메달은 150개 한정 제작되며, 메달 측면에 일련번호를 각인해 소장가치를 높였다. 판매가격은 부가가치세를 포함해 개당 은메달 99만9,000원, 동메달 15만5,000원이다. 6월 26일 오전 10시부터 조폐공사 온라인 쇼핑몰(www.koreamint.com)을 통해 선착순으로 판매 중이다. 아트메달은 일반 메달보다 예술성과 입체감을 높인 반면 제조량(판매량)은 최소화해 수집가치를 극대화한 것이 특징으로 프랑스, 이탈리아 등 유럽에서 인기가 높다. 국내에서는 조폐공사가 동전을 만드는 기술력을 적용, 지난해 ‘참매·매사냥 메달’과 ‘흑우·흑돼지 메달’을 내놓아 은메달의 경우 쇼핑몰 판매 개시 1분도 안 돼 전량 매진된 바 있다. 조폐공사 최성호 영업개발단장은 “기술력과 예술성을 결합해 고품위 제품을 만드는 데 심혈을 기울였다”며 “멋진 디자인과 함께 소장가치를 높여 수집가들의 인기를 끌 것으로 기대한다”고 밝혔다. 저작권자 © 철강금속신문 무단전재 및 재배포 금지",https://www.snmnews.com/news/articleView.html?idxno=427153
6,6,조폐공사,"“‘문템’ 추가요” 한국조폐공사 쇼핑몰, 접속 지연…금메달은 벌써 ‘품절’",ko,2018-07-16 06:00:00+00:00,"더현대닷컴 홈페이지 캡처. 누리꾼들은 ""빨리 살래"", ""사고 싶었는데 금"", ""와 비싼데 벌써 품절이라니"", ""굿즈 잘 뽑았다"", ""동이라도 사야겠다"", ""접속 왜 안되는 거냐"" 등의 반응을 보였다. 김소정 동아닷컴 기자 toystory@donga.com 또 다른 문템(문재인 아이템)이 등장했다. 바로 문재인 대통령과 김정은 북한 국무위원장이 남북정상회담 때 악수하는 모습이 새겨진 한반도 평화기념메달이다.한국조폐공사는 16일 서울 서대문구 풍산빌딩에서 '한반도 평화 기념메달'을 공개했다. 이는 4·27 남북 정상회담과 싱가포르에서 열린 6·12 북미 정상회담을 기념하기 위해 제작됐다.'한반도 평화 기념메달' 앞면에는 한반도를 배경으로 문 대통령과 김 위원장이 악수하는 장면이 새겨져있다. 조폐공사는 ""우리나라 기념메달에 남·북한 두 정상의 모습이 담긴 것은 이번이 처음""이라고 설명했다.뒷면에는 남북 정상회담 당시 두 정상이 군사분계선을 넘는 모습과 회담 슬로건인 '평화, 새로운 시작'(PEACE, A NEW START)이란 문구가 새겨져 있다.'한반도 평화 기념메달'은 금·은·동메달 등 3종류로 금메달 3000개, 은메달 3만개, 동메달 5만개 한정 제작됐다. 판매가격(부가가치세 포함)은 금메달 119만원, 은메달 8만9000원, 동메달 3만2000원이다.조폐공사 쇼핑몰(www.koreamint.com)과 현대 H몰(www.hmall.com), 더현대닷컴(www.thehyundai.com)을 통해 16일부터 다음 달 3일(금)까지 판매된다.해당 소식이 전해지자 조폐공사 쇼핑몰은 벌써 이용자 급증으로 16일 오후 2시 50분 기준 접속이 불가능하다. 또한 H몰, 더현대닷컴에서 금메달은 이미 품절됐다.한편 문재인 대통령이 등장하거나, 착용한 아이템들은 늘 화제를 몰고 온다. 문 대통령의 등산복, 안경, 구두, 넥타이 등은 공개되자마자 품절 대란을 일으켰다. 또한 문 대통령과 김정숙 여사의 인터뷰가 실린 영국 월간지 '모노클' 3월호도 판매량이 급격하게 늘었었다. 보통 20~30부 판매됐던 '모노클' 3월호는 2월 8일 청와대가 인터뷰 사실을 밝힌 후 9일 오전 8시 30분 기준 1500부가 넘게 팔렸다.",https://www.donga.com/news/Society/article/all/20180716/91077753/2
7,7,조폐공사,"한국조폐공사, 조폐 올림픽 ‘세계주화책임자회의’(MDC) 개최",ko,2018-04-16 07:57:20+00:00,"‘제30차 세계주화책임자회의’(MDC, Mint Directors' Conference)가 오는 23일부터 26일까지 서울 삼성동 그랜드 인터컨티넨탈 파르나스 호텔에서 열린다. 세계주화책임자회의(MDC)는 세계 42개국, 46개 기관의 주화제조 책임자들이 2년마다 모여 주화 관련 법률, 경제, 기술, 경영 관련 다양한 정보를 교류하는 ‘주화 조폐기관의 올림픽’이라 할 수 있다. 한국조폐공사 주최로 열리는 이번 ‘2018 서울 MDC’엔 미국 호주 오스트리아 독일 프랑스 중국 태국 남아프리카공화국 등 세계 주요 조폐기관의 CEO(최고경영자)들을 포함한 300여 명의 전문가들이 참여한다. 각국 대표들이 참석하는 수석대표회의와 기술·마케팅·글로벌 세션으로 진행되는 논문발표회, 주화 및 포장 경연대회 등의 프로그램이 열린다. 대회기간중 중국, 싱가포르 조폐국과 ㈜풍산 등은 별도의 부스를 마련해 주화 관련 제품도 전시한다. 조폐공사는 지난 2008년에 이어 두 번째로 MDC를 국내 유치함으로써 조폐분야에서의 세계적인 경쟁력과 국제적 위상을 다시 한번 확인하게 됐다. 조폐공사 조용만 사장은 ‘2018 서울 MDC’ 회의 종료 시까지 MDC 부의장으로, 개최 이후 2020년 차기회의 때까지는 의장으로 활동하게 된다. 조폐공사는 주화경연대회에 평창 동계올림픽 기념주화를 출품할 예정이다. 또 회의 기간 중 운영되는 전시부스를 통해 각종 기념주화 및 해외에서 호평받고 있는 ‘호랑이 불리온 메달’, ‘치우천왕 불리온 메달’ 등을 홍보할 계획이다. 조폐공사는 2002년 MDC에서 ‘가장 아름다운 금화상’, 2008년에는 ‘가장 기술적인 은화상’, 2010년과 2016년에는 포장경연대회에서 수상한 바 있다.",https://www.dtnews24.com/news/articleView.html?idxno=511463
8,8,조폐공사,"조폐공사, 2019년 기해년 ‘황금 돼지의 해 골드바’ 출시",ko,2018-11-07 00:52:00+00:00,"100g~500g 중량별 4종…온라인 쇼핑몰 통해 판매 순금 999.9% 순도․품질 보증…출시 기념 실버바 사은품 증정 조폐공사 ‘돼지의 해 골드바’ 이미지. (사진=조폐공사) 한국조폐공사(사장 조용만, www.komsco.com)가 2019년 기해년(己亥年) ‘황금 돼지의 해’를 앞두고 행복하고 풍요로운 새해를 기원하며 6일 ‘돼지의 해 골드바’ 4종을 선보인다. 2019년은 기해년으로 ‘기’(己)가 ‘황’(黃)을 뜻하는 땅을 의미해 ‘황금 돼지띠’, ‘황금 돼지의 해’로 불린다. 돼지는 전통적으로 부를 상징하는 동물로 알려져왔다. ‘돼지의 해 골드바’는 앞면에는 다가오는 기해년에도 좋은 일들과 풍요로운 삶을 바라는 돼지의 모습을 담아냈다. 뒷면에는 조폐공사 특허인 잠상(潛像) 기술을 적용, 위조를 원천적으로 방지함으로써 가짜 금으로 인한 피해를 예방했다. 중량 100g, 187.5g, 375g, 500g 등 네 종류로, 조폐공사가 순금 순도(999.9%)와 품질을 보증한다. 판매가격은 국제 금시세를 적용, 매일 변동되며 조폐공사 온라인 쇼핑몰(www.koreamint.com) 및 전화주문(02-710-5222)을 통해 구입할 수 있다. 조폐공사는 ‘황금 돼지 해 골드바’ 출시를 기념, 11월 한달간 구매 고객에 사은품을 주는 이벤트를 진행한다. 골드바 100g 이상 구매시 선착순 100분에게 ‘2019년 돼지의 해 실버바’(10g)를 증정한다. 저작권자 © 철강금속신문 무단전재 및 재배포 금지",https://www.snmnews.com/news/articleView.html?idxno=434917
9,9,조폐공사,"조폐공사, 위변조방지 신기술 공개",ko,2018-10-25 07:46:02+00:00,"수도미터 보안모듈·특수 감응 플라스틱·잠상 인쇄기술 등 25일 서울 대한상의 빌딩에서 열린 ‘2018년 위변조방지 보안기술 설명회’에서 한국조폐공사 관계자들이 4개 잠상 이미지가 동시에 구현되는 '4방향 금속 특수 위변조방지 기술'을 소개하고 있다. 저작권자 © 충청신문 무단전재 및 재배포 금지 [충청신문=대전] 이정화 기자 = 한국조폐공사는 25일 서울 대한상공회의소에서 ‘2018년 위‧변조방지 보안기술 설명회’를 열고 다양한 위변조방지 신기술을 공개했다.민간이 위변조 피해와 각종 범죄를 방지할 수 있도록 돕는다는 목적이다.이날 수도미터 보안모듈·잠상 인쇄기술·4방향 금속잠상·블록체인 기술을 활용한 ‘KOMSCO 신뢰플랫폼’ 등 첨단 위‧변조방지 보안기술 8가지를 선보였다.수도미터 보안모듈은 물 사용량을 검침하는 스마트 수도미터기에 장착돼 검침내용을 암호화함으로써 해킹을 막는다.잠상(숨겨진 그림) 인쇄기술은 보는 방향에 따라 3개의 문양이나 문자가 다르게 나타나는 기술로, 위변조가 어려워 정품 인증 포장 패키지 등으로 활용 가능하다.4방향 금속잠상은 금속표면에 특정 문양을 각인해 보는 방향에 따라 숨겨진 문양이 나타나는 기술로, 귀금속 제품의 위조방지에 활용된다.블록체인 기술을 활용한 ‘KOMSCO 신뢰플랫폼’은 모바일상에서 신분이나 문서 등이 진짜임을 입증해주는 플랫폼이다.조폐공사는 내년 초 블록체인 기술을 활용한 지역사랑 상품권 시범 서비스를 시작하는 등 이 플랫폼을 활용해 온라인상에서 진짜임을 증명하는 공공진본성 인프라를 제공할 계획이다.한편 이날 지폐를 만드는 원료인 면펄프로 만든 친환경 종이빨대도 선보였다.",http://www.dailycc.net/news/articleView.html?idxno=520467
