word	score
조선서적인쇄주식회사	5.361872166547983e-07
군산교육발전진흥재단	2.062258525595378e-06
한국금거래소쓰리엠	1.0795715771573122e-06
구글드라이브ocr	1.0213089841043778e-06
도시재생활성화계획	3.2716508134869047e-06
곡성세계장미축제	3.5745814443653224e-06
서산중앙호수공원	6.4342465998575805e-06
기술신용보증기금	1.071659993314054e-07
경주지역시민사회	1.307773699158045e-06
부산국제금융센터	1.071659993314054e-07
한국예탁결제원	1.6074899899710807e-07
금융보안연구원	1.071659993314054e-07
진실화해위원회	1.0895926881344371e-06
전기통신사업법	1.3404680416369958e-06
기간통신사업자	1.3404680416369958e-06
서울시경찰국장	8.071056949143979e-08
미래창조과학부	3.7273571375276583e-06
sk브로드밴드	3.3511701040924894e-06
장애인복지카드	4.178082207699728e-06
닥터미즈코리아	2.978817870304435e-06
100달러짜리	4.5893342367029817e-07
국민보도연맹원	3.6319756271147906e-07
위변조대응센터	3.671729087724438e-07
서울시립미술관	2.7263756779057544e-06
신용보증기금	2.1553665311548312e-06
도로교통공단	2.756213607171464e-06
미발행은행권	7.149162888730645e-07
kb국민은행	2.3544663964681527e-06
대우조선해양	1.237355115357227e-06
국민보도연맹	2.3406065152517535e-06
최고지도위원	2.0177642372859947e-07
우즈베키스탄	3.484076658477313e-06
인력양성사업	1.938026084294452e-06
교육발전기금	4.3889813095890724e-07
녹색식물커튼	4.124517051190756e-06
사상보국연맹	4.842634169486388e-07
통리기무아문	1.7484365760482554e-07
카자흐스탄간	5.95763574060887e-07
서울중앙지검	3.4317717234453445e-07
더불어민주당	2.947572092090312e-06
cj헬로비전	6.702340208184979e-06
kb국민카드	7.330018424662882e-07
굴절사다리차	3.0160530936832407e-06
선박관리업체	2.689902424689624e-07
스마트팩토리	1.9149543451957084e-06
함부르크수드	6.186775576786136e-06
구미참여연대	1.699184841511685e-06
기술보증기금	1.6074899899710807e-07
한국금거래소	2.1591431543146243e-06
서대문구연맹	8.071056949143979e-08
한국전력공사	1.7704812013595063e-06
환경운동연합	1.307773699158045e-06
스카치테이프	1.554165845376227e-06
생활협동조합	1.2715902371260039e-06
청렴홍보대사	1.9497716969265395e-06
특별검사팀	5.082430195269853e-07
카자흐스탄	3.238158538306254e-06
조선은행권	1.7872907221826612e-06
엔지니어들	2.3144771941933743e-06
국가정보원	6.724756061724059e-07
민주통합당	8.165287563271041e-07
시장점유율	3.5154709936132063e-06
cj오쇼핑	2.010702062455494e-06
금강문화관	2.513377578069367e-06
보도연맹원	1.493145535591636e-06
jfe스틸	7.540132734208102e-06
특별수사본	6.920329237155553e-07
기술연구원	3.9668598026248954e-07
중소기업청	6.00433127664961e-07
중앙아시아	1.7872907221826612e-06
컨테이너선	4.330742903750294e-06
화폐박물관	5.77219593533174e-06
금융공기업	6.429959959884323e-07
주민등록증	1.617259424830603e-06
대전고검장	9.991066148847174e-07
마스터플랜	6.110089187321541e-07
청년외교단	2.29794521423485e-06
가격경쟁력	7.328299088676059e-07
배출시스템	2.8220379823936757e-06
순천대리점	3.860547959914548e-06
치안유지법	8.071056949143979e-08
기차승차권	1.7484365760482554e-06
창립기념식	2.29794521423485e-06
성과공유회	1.4110189911968378e-06
음원사이트	1.6498068204763025e-06
미점령지역	8.071056949143979e-08
폴리실리콘	2.9313196354704234e-06
메달리스트	1.6763574145586636e-06
준정부기관	4.1453907828958695e-07
선박보험금	2.689902424689624e-07
서울경찰청	5.090573096601474e-07
sk텔레콤	2.6809360832739916e-06
코인플러그	8.936453610913306e-07
조직위원회	1.4472994810727337e-06
우에노역사	2.453946071646675e-07
커넬샌더스	4.874429242316349e-06
제노사이드	6.053292711857985e-07
