	id	query	title	lang	pub_date	text	url
0	0	조폐공사	조폐공사, 블록체인 기반 '모바일 지역사랑 상품권' 서비스	ko	2019-02-13 07:35:00+00:00	모바일 상품권 사용 예시. 사진 조폐공사 제공 한국조폐공사는 4차산업혁명 핵심 기술 중 하나인 블록체인 공공 신뢰플랫폼을 구축해 모바일 상품권 등 서비스에 적용한다고 13일 밝혔다. 조폐공사는 이 플랫폼을 활용해 성남시와 시흥시에서 '모바일 지역사랑 상품권' 시범 서비스에 돌입한 상태다. '모바일 지역사랑 상품권'은 스마트폰 앱으로 구입한 후 가맹점에서 QR코드를 통해 상품이나 서비스를 간편하게 구매할 수 있도록 만든 모바일 상품권이다. 이 플랫폼은 ▲온라인 전자문서의 위변조방지 서비스 ▲모바일 신원 정보를 안전하게 인증해주는 서비스 ▲각종 설문이나 여론조사 등에 필요한 모바일 투표 등에도 활용 가능한 것으로 알려졌다.	http://www.dtnews24.com/news/articleView.html?idxno=538639
1	1	조폐공사	조폐공사, 지난해 매출 4천8백억, 영업이익 95억, 6년 연속 최대 실적 경신	ko	2019-03-11 08:46:18+00:00	공공분야 중심 신사업 추진 성과 한국조폐공사 경영추이 그래프 / 한국조폐공사 제공 한국조폐공사가 지난해 창립 이래 최대 경영실적을 다시 한 번 경신했다. 11일 조폐공사에 따르면 ‘2018년 결산’ 결과 지난해 매출액은 4,806억원, 영업이익은 95억원으로 6년 연속 사상 최대 실적을 달성했다. 이는 화폐 제조량 감소 등 전통적 주력사업의 정체에도 불구, 공공분야 중심으로 새로운 사업을 추진하고 적극적으로 해외 시장을 개척한 덕분으로 풀이된다. 조폐공사는 올해 매출액 목표를 4,910억 원으로 잡고 ▲ 공공역할 강화를 통한 사회적 가치 지속 창출 ▲ 블록체인 기술을 활용한 ‘모바일 지역사랑상품권 서비스’의 성공적 안착으로 국민편익 증대 ▲ '기본과 원칙’ 기반의 품질관리로 무결점 제품 구현 ▲ 지속성장을 위한 R&D(연구개발) 및 해외시장 개척 강화 ▲ 기업문화 혁신을 통한 조직 경쟁력 제고 등을 5대 중점과제로 선정해 추진키로 했다. 이와 함께 양질의 일자리 확대를 통한 사회적 가치 창출을 위해 상반기 중 정원의 4% 수준인 50명을 블라인드 방식으로 신규 채용할 계획이다. 조용만 사장은 “올해를 ‘세계 최고의 조폐·인증·보안 서비스 기업’이라는 비전 달성의 원년으로 삼고, 시대와 국민이 필요로 하는 공공역할을 능동적으로 추진할 것”이라고 밝혔다. 한국조폐공사 조용만 사장 / 한국조폐공사 제공 저작권자 © 뉴스티앤티 무단전재 및 재배포 금지	http://www.newstnt.com/news/articleView.html?idxno=28139
2	2	조폐공사	돈 만드는 공장 가보니…철통보안 속 정교한 생산공정	ko	2019-06-19 03:04:14+00:00	"한 달 이상 걸쳐 여러 차례 인쇄…조폐공사, 화폐발주량 감소에 사업 다각화 모색 조폐공사 경산 화폐본부 5만원권 제조 현장 [한국조폐공사 제공] (경산=연합뉴스) 이지헌 기자 = ""휴대전화 카메라 렌즈에 보안스티커를 부착해 주십시오"" 기자들이 지난 18일 찾은 경북 경산시의 한국조폐공사 화폐본부(옛 경산 조폐창)는 정문 입구부터 국가보안시설(가급) 특유의 삼엄한 분위기가 느껴졌다. 조폐공사는 5만원권 발행 10주년인 23일을 앞두고 한국은행 출입 기자단에게 생산현장을 공개했다. 광고 기자들은 화폐본부로 들어가는 버스 안에서 미리 개인정보제공 확인서를 제출한 뒤 출입 표찰과 휴대전화에 부착할 보안스티커를 교부받았다. 현장에서는 사전에 허가받지 않은 개별적인 사진 촬영이 금지됐다. 철조망이 쳐진 담장을 지나자 1∼2층 높이의 시설들만 듬성듬성 있는 넓은 부지가 펼쳐졌다. 인근에서 대학 시절을 보냈다는 한 기자는 ""이런 시설이 있는지 전혀 몰랐다""고 했다. 도로에 안내 표지판도 없다 보니 경산 시민들도 존재를 잘 모른다고 한다. 10돌 맞은 5만원권…1만원권 보다 많이 사용 / 연합뉴스 (Yonhapnews) 유튜브로 보기 https://youtu.be/YgZv4Rll1-s 경산에 화폐 제조시설이 들어선 것은 1975년이다. 2007년부터 조폐창에서 화폐본부로 명칭을 변경했다. 제조시설은 원래 지하에 있었다가 2005년 최신식 생산라인을 신설하면서 지상으로 옮겼다. 시설 안내를 맡은 박상현 인쇄관리과 차장은 ""기술력만큼은 세계 어느 조폐기관에 뒤지지 않는다고 자부한다""고 강조했다. 지문인식기를 거쳐 안으로 들어간 지폐제조 현장은 축구장 크기와 비슷한 규모였다. 삼엄한 보안과 시설규모를 제외하고 보면 쉬지 않고 돌아가는 기계 소리와 잉크 냄새는 여느 인쇄소의 분위기와 크게 다르지 않았다. 그러나 지폐는 한 달 넘게 복잡하고 정교한 공정을 거쳐 탄생한다는 점에서 일반 인쇄물과는 생산과정이 크게 달랐다. 조폐공사 경산 화폐본부 5만원권 제조 현장 [한국조폐공사 제공] 지폐 원료는 목화(면) 섬유다. 지폐를 물에 넣어도 쉽게 찢어지지 않는 이유다. 충남 부여군의 조폐공사 제지본부에서 이곳으로 실려 온다. 5만원권 지폐 28개가 들어가는 커다란 전지는 한 번에 인쇄되지 않고 여러 단계를 거쳐 화폐의 모습을 갖춘다. 지폐의 바탕 그림을 넣는 '평판지문 인쇄' → 금액을 표시하는 '스크린인쇄' → 위조방지를 위한 '홀로그램' 부착 → 오목판에 나머지 그림을 채우는 '요판인쇄'가 차례로 진행된다. 한 단계 인쇄를 마치면 며칠 이상 잉크를 완전히 말리고 나서 다음 인쇄에 들어간다. 마지막으로 인쇄가 잘됐는지 확인하는 전지검사를 거쳐 고유기호와 번호를 넣고 낱장씩 자르면 지폐가 완성된다. 건물 내 온도는 지폐 인쇄에 적합한 영상 23도에서 ±3도 수준에서 유지된다. 습도 역시 55% 수준에서 일정하게 관리된다. 화폐본부 직원들은 지폐를 컴퓨터 화면으로 확대해 보며 인쇄과정에서 혹시 잘못이 없는지 꼼꼼히 점검한다. 박 차장은 ""한은이 요구하는 품질 기준이 매우 까다롭다""며 ""기준에 부합하기 위해 조폐공사도 큰 노력을 기울이고 있다""고 설명했다. 조폐공사 경산 화폐본부 5만원권 제조 현장 [한국조폐공사 제공] 인쇄공정 시설을 지나 지폐를 낱장으로 자른 뒤 공정을 다루는 옆 시설로 이동했다. 통상적으로는 일반인에게 잘 공개하지 않는 지역이라고 한다. 낱장 공정시설에서는 한은에 최종 공급하기에 앞서 5만원권이 1만장 단위로 포장되는 과정을 거친다. 5만원권 1천장(5천만원) 묶음이 10개씩 포장되는 데 기자가 직접 들어보니 꽤 무거웠다. 무게가 약 10㎏가량 된다고 한다. 일련번호별로 작업자가 누구인지까지 모두 기록되기 때문에 사고가 발생하면 곧바로 추적이 가능하다고 한다. 주화를 만드는 공정은 일련의 라인 생산 방식으로 자동화돼 있었다. 소전(무늬가 새겨지기 전 동전) 투입부터 압인을 거쳐 포장하기까지 30여분밖에 걸리지 않는다고 한다. 불량품 검사도 모두 자동화된 정밀 계측기로 이뤄졌다. 안내를 맡은 주화생산관리과 하성희 차장은 ""주화생산을 위한 일관 라인 시스템은 조폐공사가 세계 최초로 도입한 것""이라고 설명했다. 완성된 지폐와 주화는 서울의 한국은행으로 옮겨지고 은행을 거쳐 시중에 유통된다. 조폐공사 경산 화폐본부 제조 현장 [한국조폐공사 제공] 조폐공사는 화폐를 제조하는 공기업으로 지폐와 주화생산이 주력산업이다. 여권, 주민등록증 등 국가신분증도 주축 사업 중 하나이다. 그러나 지불수단 비중에서 신용카드, 모바일 등이 커진 영향으로 한은의 화폐 발주량은 감소하는 상황이다. 2009년 10억장 수준이던 지폐제조량은 지난해 6억장 수준으로 줄었다. 이 때문에 조폐공사는 기념주화 제작, 위·변조 기술의 민간기업 확대, 해외시장 공략 등 사업을 다각화하는 데 공을 들이고 있다. 조용만 조폐공사 사장은 ""전통적인 영역 매출 비중이 조금 줄고 있지만 새로운 시장을 계속 개척하고 있다""며 ""6년 연속 최대 매출액을 달성했고, 지난해엔 100억원 가까운 영업이익을 냈다""고 말했다. 이어 ""특히 화폐 품질 측면에서는 어떤 선진국에도 뒤지지 않는다고 자부한다""고 강조했다. pan@yna.co.kr <저작권자(c) 연합뉴스, 무단 전재-재배포 금지>"	https://www.yna.co.kr/view/AKR20190619084900002
3	3	조폐공사	조폐공사, '브라운앤프렌즈' 캐릭터 기념메달 출시	ko	2019-12-10 00:00:00+00:00	 한국조폐공사는 지난 5일 서울 라인프렌즈 이태원점에서 국내 최초로 대중문화 캐릭터를 활용한 '브라운앤프렌즈 기념메달'을 공개·출시했다고 6일 밝혔다.라인프렌즈는 세계적으로 2억명 이상이 사용하는 네이버의 모바일 메신저 라인의 스티커인 오리지널 캐릭터 '브라운앤프렌즈'에서 시작된 글로벌 캐릭터 브랜드다.고품위 기념주화와 메달을 제작해온 조폐공사는 라인프렌즈와 협업을 통해 대중적으로 사랑받는 캐릭터의 무한한 확장성을 보여주기 위해 캐릭터 메달 제작을 추진했다고 설명했다.'브라운앤프렌즈 기념메달'은 글로벌 인기 캐릭터인 브라운, 코니, 샐리가 서울의 명소인 광화문, 남대문, 남산을 여행하는 스토리로 피규어와 결합된 금 1종(브라운), 은 2종(코니, 샐리)으로 출시된다. 국내 최초로 보는 각도에 따라 이미지가 달라 보이는 전면잠상기술이 적용됐다.브라운 기념메달(금, 중량 15.5g, 순도 99.9%, 직경 28mm)은 광화문 이순신 동상과 브라운을 표현했다. 코니 기념메달(은, 중량 31.1g, 순도 99.9%, 직경 40mm)에는 남대문의 모습과 숲 전경을 담았다. 샐리 기념메달(은, 중량 31.1g, 순도 99.9%, 직경 40mm)은 남산타워의 밤과 낮을 디자인했다.'브라운앤프렌즈 기념메달'은 기념메달과 캐릭터 피규어, 고유 일련번호가 새겨진 보증서 및 제품설명서로 구성돼 있다. 판매가격(부가세 포함)은 ▲금메달(브라운) 143만원 ▲은메달(코니, 샐리) 각각 15만원이다. 브라운데이(8월 8일)를 상징하는 총 8888개 한정 제작된다.[디지털뉴스국 김진솔 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]	https://www.mk.co.kr/news/economy/view/2019/12/1020972/
4	4	조폐공사	조폐공사, 자체 브랜드 ‘실버바’ 첫 출시	ko	2019-04-24 12:31:44+00:00	중량 1kg·순도 99.99% 제품, 5월 2일부터 한국귀금속중앙회 우수 회원사 통해 판매 정품·정량 실버바 수요 충족…귀금속 거래질서 확립·시장 양성화 기대 한국조폐공사는 23일 서울 서울 단성사 건물에서 실버바 실물공개 행사를 갖고 ‘한국조폐공사’ 이름이 새겨진 자체 브랜드 실버바를 처음 선보였다. (사진=한국조폐공사) 한국조폐공사(사장 조용만, www.komsco.com)가 골드바에 이어 실버바를 선보였다. 이에 따라 은(銀) 거래의 안전성과 투명성이 한층 높아져 국내 은 유통시장의 질서 확립에도 기여할 것으로 기대된다. 조폐공사는 23일 서울 종로3가 단성사 건물에서 실버바 실물공개 행사를 갖고 ‘한국조폐공사’ 이름이 새겨진 자체 브랜드 실버바를 처음 선보였다. ‘한국조폐공사 실버바’는 1kg(1,000g) 1종으로, 은 순도는 99.99%다. 조폐공사의 공신력과 품질인증 역량을 활용, 순도와 중량 등을 철저히 검증한 것이 특징이다. 실버바 전면에는 한국조폐공사 CI(기업이미지통일)와 순도, 중량 등 공사 제조 상품임을 한 눈에 알아볼 수 있는 간결하고 세련된 디자인을 적용했다. 또 조폐공사가 순도와 품질을 보장하는 제품에만 부여되는 홀마크 및 시리얼 번호가 함께 각인됐다. ‘한국조폐공사 실버바 1kg’ 제품 이미지. (사진=한국조폐공사) 후면에는 조폐공사 특허인 잠상(숨겨진 이미지) 기법을 활용, 안전성을 높였으며 보증서에도 특허인 스마트기기 인식용 보안패턴 스마트씨를 적용해 위조 가능성을 차단했다. 은은 금과 함께 대표적인 안전자산으로 분류되는 귀금속으로, 전세계 연간 수요가 3만t을 넘는다. 이 가운데 투자용 수요는 연간 5,000t 정도로 추정되는데 영국 캐나다 호주 등 글로벌 조폐기관도 자체 브랜드 실버바를 판매중이다. 조폐공사 귀금속사업인증팀 최병열 팀장은 “정품, 정량 실버바에 대한 국내 수요가 꾸준히 늘고 있는 추세”라며 “귀금속 거래질서 확립을 통한 시장 양성화를 위해 자체 브랜드 실버바를 선보이게 됐다”고 밝혔다. 판매는 조폐공사와 동반성장·상생협력 협약을 체결한 한국귀금속중앙회로부터 추천받은 우수 회원사를 통해 5월 2일부터 이뤄진다. 판매가격은 국제 은 시세에 따라 달라진다. 제품과 관련한 문의는 조폐공사(02-710-5229), ㈜삼성금거래소(한국귀금속중앙회 추천 우수 회원사 02-764-2869)로 하면 된다. 저작권자 © 철강금속신문 무단전재 및 재배포 금지	https://www.snmnews.com/news/articleView.html?idxno=445205
5	5	조폐공사	"[5만원권 10주년] 화폐공장 가보니 돈다발 천지인데…""돈으로 안보여요"""	ko	2019-06-04 00:00:00+00:00	" 18일 경상북도 경산시 한국조폐공사 화폐본부에서 직원이 5만권을 검수하고 있다. [사진 제공 = 한국조폐공사] 조폐공사 화폐본부 정문. [사진 제공 = 전종헌 기자] 5만원권 위조방지장치. [사진 제공 = 한국조폐공사] [자료 제공 = 한국은행] 조용만 조폐공사 사장. [사진 제공 = 매경DB] 조폐공사 화폐본부에 세워진 품질 표지석. [사진 제공 = 한국조폐공사] 오는 23일 5만원권 발행 10주년을 앞두고 기념취재를 위해 18일 경북 경산시 한국조폐공사 화폐본부를 찾았다. 국가 경제의 한 축인 화폐를 찍어내는 곳인 만큼 입구부터 보안 점검이 철저했다.조폐공사는 화폐 관련 모든 업무를 총괄하는 본부, 돈을 찍어내는 화폐본부, 은행권에 사용하는 보안용지를 만드는 제지본부, 전자여권, 전자신분증 등 스마트 ID제품을 생산하는 ID본부, 보안기술을 발굴하는 기술연구원으로 조직이 구성돼 있다.이날 기자가 발을 들인 곳은 돈을 찍어내는 화폐본부다. 조폐공사로부터 간략한 기관현황 보고를 듣고 가장 먼저 은행권 인쇄 공정을 둘러봤다. 들어서자마자 '윙~윙~' 돈 찍는 소리가 반겼다. 천장을 올려다보니 여기저기 폐쇄회로(CC)TV가 보였다. 돈 공장인 만큼 보안은 두말할 나위 없이 삼엄했다.주의를 살펴보니 5만원권 다발 천지였다. '내 생애 이렇게 많은 돈다발을 또 볼 수 있을까'란 생각에 열심히 만져보고 들어도 봤다.불량 없이 '완지'로 생산돼 일련번호가 순서대로 찍힌 5만원권 10kg 한 뭉치를 한 번 들어보라는 조폐공사 직원의 말에 두 손으로 덥석 안아보기도 했다. 크기는 쌀 10kg과 비슷했다. 이 돈뭉치가 얼마인지 물어보니 ""5억원이""이라는 직원의 답변에 눈이 휘둥그레 졌다. 5만원 유통 후 자기앞수표 발행이 왜 현저하게 줄었는지도 짐작케 했다. 10만원 자기앞수표 교환 장수는 2008년 9억3000장에서 지난해 8000장으로 '확' 줄었다고 한다.기자의 눈에는 5만원권이 '돈'으로 보였지만 조폐공사 직원은 ""우리에게는 오직 제품에 불과하다""고 견학 내내 강조했다. 조폐공사 직원들에게 5만원권은 '자부심'이자 '예술품'이다. 세계 어느 나라와 견줘도 보안 기술력과 품질이 뒤지지 않는다고 한다.5만원권 낱장에는 무려 22개의 위조방지장치가 녹아있다. 우리가 확인할 수 있는 공개위조방지장치는 16개 비공개위조방지장치는 6개다. 5만원권 용지에는 숨은 그림, 돌출 은화, 숨은 은선, 입체형 은선, 형광 색사 위조방지장치가 들어가며, 화폐에 입체감을 주는 '올록볼록' 요판인쇄 작업에서는 볼록 인쇄, 미세 문자, 잠상이 만들어 진다.평판인쇄 시에는 광간섭 무늬, 무지개색, 앤드리스(Endless) 무늬가 입혀진다. 여기에 색변환 잉크, 형광 잉크, 시변각 장치 외에도 비공개 요소 및 특수잉크 6가지를 포함 총 22가지 위조방지장치가 5만원권 곳곳을 감싼다.이쯤 되니 5만원권에 대해 숙연한 생각이 든다. 무심코 썼던 5만원권인데, 이날은 남달랐다. 아니 앞으로도 5만원권을 볼 때마다 의미가 더해질 것 같다. 조폐공사 직원이 '우리 제품은 예술품'이라고 한 말이 이제서야 이해가 가는 듯하다.여기서 잠깐 5만원권 10주년을 앞두고 평가도 해본다.5만원권은 은행권 중 최고액면이다. 1973년 만원권 발행 이후 경제규모 확대, 물가상승 등에 맞게 은행권 최고액면을 상향 조정, 불필요한 사회적 비용을 절감하고 국민 불편을 해소하기 위해 발행했다. 2006년 12월 국회에서 고액권 발행촉구 결의안 의결을 시작으로 2007년 11월 도안인물 선정→2007년 12월 정부 승인 및 금융통화위원회 의결→2009년 2월 도안 공개→2009년 6월 발행을 거쳐 오늘에 이르고 있다.발행 추이를 보면 올해 5월말 현재 시중에 유통중인 은행권 중 5만원권은 금액으로는 84.6%(98조2000억원), 장수로는 36.9%(19억6000만장)로 금액과 장수 모두 가장 높은 비중을 차지한다.이용도 확산하고 있다. 많은 국민들이 5만원권을 소비지출, 경조금 등에 일상적으로 사용 중이다. 한국은행이 발표한 '2018년 경제주체별 현금사용행태 조사 결과'에 따르면 국민들은 거래용 현금의 43.5%, 예비용 현금의 79.4%를 5만원권으로 보유하고 있으며, 5만원권 용도로는 소비지출에 43.9%, 경조금에 24.6%를 사용하고 있는 것으로 나타났다.5만원권 발행 초기 5000원권과 색상이 혼동되고 환수율이 지나치게 낮다는 지적도 현재는 크게 해소됐다.김태형 한은 발권국 발권정책팀장은 ""5만원권 발행 직후 유사한 황색계열이 사용된 5000원권과의 구별이 어렵다는 민원이 다수 있었으나, 노출빈도 확대로 국민들이 점차 익숙해지면서 관련 논란이 사실상 종결됐다""고 평가했다.환수율도 5만원권 발행 초기인 2013~2015년 중 일시 하락했으나 최근 연간 환수율이 60%대 후반이고 누적 환수율도 올해 5월말 현재 50%를 넘어 안정적인 추세를 보이고 있다. 환수율이란 시중에 풀린 발행액 대비 한은에 돌아온 환수액 비율을 의미한다. 환수율이 높다는 것은 그만큼 돈의 회전율이 높다는 것을 뜻한다. 반대로 환수율이 낮다는 것은 돈이 지하경제로 흘러들어가는 등 돈이 잠기고 있음을 나타낸다.화폐관리비용 절감 효과도 있다. 5만원권 1장이 만원권 5장의 역할을 수행함에 따라 제조, 유통, 보관 등 화폐관리 비용이 만원권과 비교하면 연간 약 600억원 내외 절감효과가 있는 것으로 한은은 추정하고 있다.신용카드 발급 증가, 삼성페이, 카카오페이 등 지급결제 수단의 발전으로 최근 현금 없는 사회로 가면서 5만원권을 제조하는 조폐공사는 다양한 수익처 발굴에도 나서고 있다. 화폐 발행이 갈수록 줄어들 것으로 전망되면서 다른 곳에서 새로운 부가가치를 창출하고 있다. 조폐공사는 1977년 방글라데시에 타카(Taka) 1억장을 시작으로 화폐 등의 수출을 10여 개국으로 확대했다.조용만 조폐공사 사장은 오찬 기자간담회에서 품질과 신기술을 통한 활약을 예고했다. 조 사장은 은행권, 주화, 전자여권, 수표 등 보안제품을 생산하는 국내 유일의 제조 공기업 조폐공사의 화폐본부에 '100-1=0'이라는 문구가 새겨진 상징물을 소개했다.그는 ""100개의 제품 중 고객이 99개에 만족하더라도 1개의 제품에 불만족하면 고객만족은 0이라는 뜻""이라며 ""품질은 조폐공사의 핵심가치로 고객에게 단 1개의 부적합 제품도 공급하지 않겠다는 의미""라고 설명했다.조폐공사는 위변조 기술을 활용한 신성장 사업 육성, 해외 시장 개척 노력 등을 통해 지난해 매출액 4806억원, 영업이익 95억원으로 6년 연속 사상 최대 실적을 달성했다. 올해는 매출 4910억원, 영업이익 105억원이 목표다.[경북 경산 = 디지털뉴스국 전종헌 기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"	https://www.mk.co.kr/news/economy/view/2019/06/434654/
6	6	조폐공사					https://www.hankyung.com/economy/article/201906194891i
7	7	조폐공사	조폐공사, ‘제100회 전국체육대회 기념주화’ 출시	ko	2019-07-03 23:27:06+00:00	마름모형 순은 주화 최대 1만장 발행 7월 4일~17일까지 NH농협·우리은행에서 신청 예약접수 ‘제100회 전국체육대회 기념주화’ 이미지. (사진=조폐공사) 올해 100회째를 맞는 전국체육대회를 기념한 기념주화가 선보인다. 한국조폐공사(사장 조용만, www.komsco.com)는 ‘제100회 전국체육대회 기념주화’를 4일부터 17일까지 예약접수한다. 기념주화 앞면은 초기 종합경기대회 대표 종목(야구, 정구, 축구, 농구, 육상)을 생동감있게 표현했으며, 뒷면은 100회 대회 엠블럼으로 디자인했다. 또 제1회 대회 최초 종목인 야구 경기장 내야 모양을 본딴 마름모 형태로 제작해 의미 및 희소성을 더했다. 순도 99.9%, 중량 14g의 순은(Ag)으로, 최대 발행량은 1만장이다. 액면가는 3만원이며, 판매가격은 4만3,000원이다. 예약접수는 판매대행기관인 전국 NH농협은행 창구와 홈페이지(banking.nonghyup.com), 우리은행 창구와 홈페이지(www.wooribank.com)에서 할 수 있다. 전국체육대회는 전국 각 시도의 우정과 화합을 목적으로 열리는 종합 경기대회로, 약칭 전국체전으로 불린다. 일제 강점기 당시인 1920년 서울에서 열린 제1회 전조선야구대회가 시초다. 저작권자 © 철강금속신문 무단전재 및 재배포 금지	https://www.snmnews.com/news/articleView.html?idxno=449072
8	8	조폐공사	조폐공사, 국보 ‘경천사지 십층석탑' 기념메달 재탄생	ko	2019-05-15 07:18:00+00:00	국보 제86호로 국립중앙박물관에 소장중인 경천사지 십층석탑이 기념메달로 재탄생했다. (사진=조폐공사 제공) [충청신문=대전] 박진형 기자 = 국보 제86호로 국립중앙박물관에 소장중인 경천사지 십층석탑이 기념메달로 재탄생했다. 한국조폐공사는 24일까지 조폐공사 온라인 쇼핑몰 등에서 우리 품에 돌아온 문화재 시리즈 두번째 작품인 '경천사지 십층석탑 기념메달'을 예약 판매한다고 밝혔다. 경천사지 십층석탑 기념메달'은 금(중량 31.1g), 은(31.1g), 백동(26g) 3종으로 1,800개 한정 제작된다. 판매가격(부가가치세 포함)은 개당 금 264만원, 은 19만 8000원, 백동 4만 9500원이다. 잠상과 채색기술을 적용, 석탑의 아름다움을 표현했으며 은행권 제조기술을 활용한 요판화와 전시 가능한 쇼케이스로 수집가치를 높였다는 설명이다. '우리 품에 돌아온 문화재 시리즈' 기념메달은 우리 문화재의 소중한 가치를 알리고, 아직도 찾지 못한 16만여점의 국외 소재 문화재를 되찾기 위한 국민적 관심과 기금 조성을 목적으로 기획됐다. 조폐공사는 판매 수익금 중 일부를 문화재청, 국외소재문화재재단과 체결한 국외문화재보호 후원약정에 따라 해외에 유실된 문화재를 되찾기 위한 기금으로 기부할 방침이다. 저작권자 © 충청신문 무단전재 및 재배포 금지	http://www.dailycc.net/news/articleView.html?idxno=541109
9	9	조폐공사	"조폐공사, 옥새 판다…""정조 어보 기념메달 사세요"""	ko	2019-04-20 00:00:00+00:00	" [사진 출처 = 문화재청] 한국조폐공사가 3일 창경궁 영춘헌에서 조선 어보 '정조효손은인(正祖孝孫銀印)' 실물을 공개, 이를 본떠 제작한 기념메달 판매를 시작한다.정조효손은인은 유네스코 세계기록유산에 등재된 조선 어보(御寶)로, 정조가 부친 사도세자에 대한 효심을 나타내자 할아버지인 영조가 하사한 어보다. 영조가 83세에 쓴 친필을 새겼는데, 임금 글씨인 어필을 조각한 유일한 어보로 알려졌다.조폐공사가 판매하는 상품은 이를 모티브로 삼아 만든 '조선의 어보 기념메달 시리즈' 3차 상품으로, 1차와 2차에 이어 무형문화재 김영희 옥장(경기도유형문화재 제18호)이 귀뉴(거북 모양의 손잡이)를 사실성 높게 재현해 예술성을 높였다. 이 메달은 오는 12월까지 판매된다.한편 '조선의 어보 기념메달 시리즈'는 2017년 유네스코에 등재된 조선 왕실의 유물인 어보의 가치를 대중에 알리고 해외로 유실된 어보를 되찾기 위한 기금을 조성하기 위해 기획됐다.조폐공사 조용만 사장은 ""스토리를 갖춘 전통 제품을 꾸준히 개발해서 우리나라의 전통문화를 대중에 널리 알리고 문화재 지킴이로서의 역할을 다하겠다""고 말했다.[디지털뉴스국 최서진 인턴기자][ⓒ 매일경제 & mk.co.kr, 무단전재 및 재배포 금지]"	https://www.mk.co.kr/news/culture/view/2019/04/203516/
